serial_number,movie_name,star,describe,introduce,movie_url,evaluate
110,上帝之城,8.9,被上帝抛弃了的上帝之城。,2002/巴西法国/犯罪剧情,https://movie.douban.com/subject/1292208/,185876人评价
111,恐怖直播,8.7,恐怖分子的“秋菊打官司”。,2013/韩国/剧情犯罪悬疑,https://movie.douban.com/subject/21360417/,306686人评价
112,倩女幽魂,8.7,两张绝世的脸。 ,1987/香港/剧情爱情武侠古装,https://movie.douban.com/subject/1297447/,347978人评价
113,红辣椒,8.9,梦的勾结。,2006/日本/动画悬疑科幻惊悚,https://movie.douban.com/subject/1865703/,182256人评价
114,风之谷,8.8,动画片的圣经。,1984/日本/动画奇幻冒险,https://movie.douban.com/subject/1291585/,222012人评价
115,超脱,8.8,穷尽一生，我们要学会的，不过是彼此拥抱。,2011/美国/剧情,https://movie.douban.com/subject/5322596/,227946人评价
116,爱在日落黄昏时,8.8,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,2004/美国/剧情爱情,https://movie.douban.com/subject/1291990/,251706人评价
117,驯龙高手,8.7,和谐的生活离不开摸头与被摸头。,2010/美国/动画奇幻冒险,https://movie.douban.com/subject/2353023/,372527人评价
118,请以你的名字呼唤我,8.8,沉醉在电影的情感和视听氛围中无法自拔。,2017/意大利法国巴西美国/剧情爱情同性,https://movie.douban.com/subject/26799731/,269875人评价
119,菊次郎的夏天,8.8,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,1999/日本/剧情喜剧,https://movie.douban.com/subject/1293359/,245281人评价
120,幸福终点站,8.7,有时候幸福需要等一等。 ,2004/美国/喜剧剧情爱情,https://movie.douban.com/subject/1292274/,279815人评价
121,哈利·波特与死亡圣器(下),8.7,10年的完美句点。,2011/美国英国/剧情悬疑奇幻冒险,https://movie.douban.com/subject/3011235/,361123人评价
122,杀人回忆,8.7,关于连环杀人悬案的集体回忆。,2003/韩国/犯罪剧情悬疑惊悚,https://movie.douban.com/subject/1300299/,267818人评价
123,神偷奶爸,8.5,Mr. I Don't Care其实也有Care的时候。,2010/美国法国/喜剧动画冒险,https://movie.douban.com/subject/3287562/,503589人评价
124,借东西的小人阿莉埃蒂,8.7,曾经的那段美好会沉淀为一辈子的记忆。,2010/日本/动画奇幻冒险,https://movie.douban.com/subject/4202302/,274627人评价
125,小森林 冬春篇,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,2015/日本/剧情,https://movie.douban.com/subject/25814707/,166970人评价
126,7号房的礼物,8.8,《我是山姆》的《美丽人生》。,2013/韩国/剧情喜剧家庭,https://movie.douban.com/subject/10777687/,236495人评价
127,怪兽电力公司,8.6,不要给它起名字，起了名字就有感情了。,2001/美国/儿童喜剧动画奇幻冒险,https://movie.douban.com/subject/1291579/,320224人评价
128,岁月神偷,8.6,岁月流逝，来日可追。,2010/香港中国大陆/剧情家庭,https://movie.douban.com/subject/3792799/,364989人评价
129,七武士,9.2,时代悲歌。,1954/日本/动作冒险剧情,https://movie.douban.com/subject/1295399/,98803人评价
130,萤火之森,8.8,触不到的恋人。,2011/日本/剧情爱情动画奇幻,https://movie.douban.com/subject/5989818/,220019人评价
131,真爱至上,8.5,爱，是个动词。,2003/英国美国法国/喜剧剧情爱情,https://movie.douban.com/subject/1292401/,394398人评价
132,电锯惊魂,8.7,真相就在眼前。,2004/美国/悬疑惊悚恐怖,https://movie.douban.com/subject/1417598/,252378人评价
133,超能陆战队,8.6,Balalala~~~,2014/美国/喜剧动作科幻动画冒险,https://movie.douban.com/subject/11026735/,493143人评价
134,谍影重重3,8.7,像吃了苏打饼一样干脆的电影。,2007/美国德国/动作悬疑惊悚,https://movie.douban.com/subject/1578507/,229078人评价
135,唐伯虎点秋香,8.5,华太师是黄霑，吴镇宇四大才子之一。,1993/香港/喜剧爱情古装,https://movie.douban.com/subject/1306249/,464110人评价
136,蝙蝠侠：黑暗骑士崛起,8.6,诺兰就是保证。,2012/美国英国/剧情动作科幻犯罪惊悚,https://movie.douban.com/subject/3395373/,369889人评价
137,萤火虫之墓,8.7,幸福是生生不息，却难以触及的远。 ,1988/日本/动画剧情战争,https://movie.douban.com/subject/1293318/,248860人评价
138,疯狂原始人,8.7,老少皆宜，这就是好莱坞动画的魅力。,2013/美国/喜剧动画冒险,https://movie.douban.com/subject/1907966/,465745人评价
139,喜宴,8.9,中国家庭的喜怒哀乐忍。,1993/台湾美国/剧情喜剧爱情同性家庭,https://movie.douban.com/subject/1303037/,176078人评价
140,东邪西毒,8.6,电影诗。,1994/香港台湾/剧情动作爱情武侠古装,https://movie.douban.com/subject/1292328/,323173人评价
141,贫民窟的百万富翁,8.5,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,2008/英国美国/剧情爱情,https://movie.douban.com/subject/2209573/,463700人评价
142,记忆碎片,8.6,一个针管引发的血案。,2000/美国/犯罪剧情悬疑惊悚,https://movie.douban.com/subject/1304447/,342431人评价
143,黑天鹅,8.5,黑暗之美。,2010/美国/剧情惊悚,https://movie.douban.com/subject/1978709/,504836人评价
144,英雄本色,8.6,英雄泪短，兄弟情长。 ,1986/香港/动作犯罪,https://movie.douban.com/subject/1297574/,236785人评价
145,心迷宫,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,2014/中国大陆/剧情犯罪悬疑,https://movie.douban.com/subject/25917973/,243044人评价
146,无人知晓,9.1,我的平常生活就是他人的幸福。,2004/日本/剧情,https://movie.douban.com/subject/1292337/,105374人评价
147,雨人,8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,1988/美国/剧情,https://movie.douban.com/subject/1291870/,246562人评价
148,傲慢与偏见,8.5,爱是摈弃傲慢与偏见之后的曙光。,2005/法国英国美国/剧情爱情,https://movie.douban.com/subject/1418200/,382854人评价
149,荒蛮故事,8.8,始于荒诞，止于更荒诞。,2014/阿根廷西班牙/剧情喜剧犯罪,https://movie.douban.com/subject/24750126/,194439人评价
150,血战钢锯岭,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,2016/美国澳大利亚/剧情传记历史战争,https://movie.douban.com/subject/26325320/,417875人评价
151,纵横四海,8.7,香港浪漫主义警匪动作片的巅峰之作。,1991/香港/剧情喜剧动作犯罪,https://movie.douban.com/subject/1295409/,197291人评价
152,时空恋旅人,8.7,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,2013/英国/喜剧爱情奇幻,https://movie.douban.com/subject/10577869/,265065人评价
153,卢旺达饭店,8.9,当这个世界闭上双眼，他却敞开了怀抱。,2004/英国南非意大利美国/剧情历史战争,https://movie.douban.com/subject/1291822/,148124人评价
154,教父3,8.8,任何信念的力量，都无法改变命运。,1990/美国/剧情犯罪,https://movie.douban.com/subject/1294240/,168615人评价
155,玩具总动员3,8.8,跨度十五年的欢乐与泪水。,2010/美国/喜剧动画奇幻冒险,https://movie.douban.com/subject/1858711/,240053人评价
156,达拉斯买家俱乐部,8.7,Jared Leto的腿比女人还美！,2013/美国/剧情传记同性,https://movie.douban.com/subject/1793929/,237787人评价
157,海边的曼彻斯特,8.6,我们都有权利不与自己的过去和解。,2016/美国/剧情家庭,https://movie.douban.com/subject/25980443/,264777人评价
158,花样年华,8.6,偷情本没有这样美。,2000/香港/剧情爱情,https://movie.douban.com/subject/1291557/,305267人评价
159,完美的世界,9.0,坏人的好总是比好人的好来得更感人。,1993/美国/剧情犯罪,https://movie.douban.com/subject/1300992/,105705人评价
160,海洋,9.0,大海啊，不全是水。,2009/法国瑞士西班牙美国阿联酋/纪录片,https://movie.douban.com/subject/3443389/,110549人评价
161,虎口脱险,8.9,永远看不腻的喜剧。,1966/法国英国/喜剧战争,https://movie.douban.com/subject/1296909/,128469人评价
162,恋恋笔记本,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,2004/美国/剧情爱情,https://movie.douban.com/subject/1309163/,349092人评价
163,你看起来好像很好吃,8.8,感情不分食草或者食肉。,2010/日本/剧情动画儿童,https://movie.douban.com/subject/4848115/,183621人评价
164,燃情岁月,8.7,传奇，不是每个人都可以拥有。,1994/美国/剧情爱情西部家庭,https://movie.douban.com/subject/1295865/,171815人评价
165,二十二,8.7,有一些东西不应该被遗忘。,2015/中国大陆/纪录片,https://movie.douban.com/subject/26430107/,145540人评价
166,冰川时代,8.5,松鼠才是角儿。,2002/美国/喜剧动画冒险,https://movie.douban.com/subject/1291578/,340267人评价
167,雨中曲,9.0,骨灰级歌舞片。,1952/美国/喜剧歌舞爱情,https://movie.douban.com/subject/1293460/,112421人评价
168,头脑特工队,8.7,愿我们都不用长大，每一座城堡都能永远存在。,2015/美国/喜剧动画冒险,https://movie.douban.com/subject/10533913/,300448人评价
169,我是山姆,8.8,爱并不需要智商 。,2001/美国/剧情家庭,https://movie.douban.com/subject/1306861/,133810人评价
170,被解救的姜戈,8.6,热血沸腾，那个低俗、性感的无耻混蛋又来了。,2012/美国/剧情动作西部冒险,https://movie.douban.com/subject/6307447/,318805人评价
171,人工智能,8.6,对爱的执着，可以超越一切。,2001/美国/冒险剧情科幻,https://movie.douban.com/subject/1302827/,235650人评价
172,穿越时空的少女,8.6,爱上未来的你。 ,2006/日本/剧情爱情科幻动画,https://movie.douban.com/subject/1937946/,225343人评价
173,无敌破坏王,8.7,迪士尼和皮克斯拿错剧本的产物。,2012/美国/喜剧动画奇幻冒险,https://movie.douban.com/subject/6534248/,265276人评价
174,魂断蓝桥,8.8,中国式内在的美国电影。,1940/美国/剧情战争爱情,https://movie.douban.com/subject/1293964/,152771人评价
175,猜火车,8.5,不可猜的青春迷笛。 ,1996/英国/剧情犯罪,https://movie.douban.com/subject/1292528/,288073人评价
176,爆裂鼓手,8.6,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,2014/美国/剧情音乐,https://movie.douban.com/subject/25773932/,293454人评价
177,你的名字。,8.4,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,2016/日本/剧情爱情动画,https://movie.douban.com/subject/26683290/,647604人评价
178,未麻的部屋,8.9,好的剧本是，就算你猜到了结局也猜不到全部。,1997/日本/动画奇幻惊悚,https://movie.douban.com/subject/1395091/,127999人评价
179,罗生门,8.7,人生的N种可能性。,1950/日本/犯罪剧情悬疑,https://movie.douban.com/subject/1291879/,158189人评价
180,模仿游戏,8.6,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,2014/英国美国/剧情传记战争同性,https://movie.douban.com/subject/10463953/,319800人评价
181,一个叫欧维的男人决定去死,8.8,惠及一生的美丽。,2015/瑞典/剧情,https://movie.douban.com/subject/26628357/,167519人评价
182,房间,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,2015/爱尔兰加拿大英国美国/剧情家庭,https://movie.douban.com/subject/25724855/,201815人评价
183,阿飞正传,8.5,王家卫是一种风格，张国荣是一个代表。,1990/香港/犯罪剧情爱情,https://movie.douban.com/subject/1305690/,264453人评价
184,香水,8.4,一个单凭体香达到高潮的男人。,2006/德国法国西班牙美国/剧情犯罪奇幻,https://movie.douban.com/subject/1760622/,332860人评价
185,忠犬八公物语,9.1,养狗三日，便会对你终其一生。,1987/日本/剧情,https://movie.douban.com/subject/1959195/,82604人评价
186,恐怖游轮,8.4,不要企图在重复中寻找已经失去的爱。,2009/英国澳大利亚/剧情悬疑惊悚,https://movie.douban.com/subject/3011051/,408444人评价
187,完美陌生人,8.5,来啊，互相伤害啊！,2016/意大利/剧情喜剧,https://movie.douban.com/subject/26614893/,289860人评价
188,浪潮,8.7,世界离独裁只有五天。,2008/德国/剧情惊悚,https://movie.douban.com/subject/2297265/,159795人评价
189,魔女宅急便,8.5,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,1989/日本/动画奇幻冒险,https://movie.douban.com/subject/1307811/,247417人评价
